DATE,RSFSXMVN
2018-07-01,401519
2018-08-01,412527
2018-09-01,381376
2018-10-01,404706
2018-11-01,423513
2018-12-01,455305
2019-01-01,367860
2019-02-01,351812
2019-03-01,402605
2019-04-01,402501
2019-05-01,431338
2019-06-01,409674
2019-07-01,418760
2019-08-01,426850
2019-09-01,392848
2019-10-01,418139
2019-11-01,431014
2019-12-01,483875
2020-01-01,387589
2020-02-01,382188
2020-03-01,397281
2020-04-01,338757
2020-05-01,399853
2020-06-01,421457
2020-07-01,436568
2020-08-01,434188
2020-09-01,422824
2020-10-01,443939
2020-11-01,445932
2020-12-01,500733
2021-01-01,417671
2021-02-01,393273
2021-03-01,493286
2021-04-01,490560
2021-05-01,507052
2021-06-01,505812
2021-07-01,507189
2021-08-01,509783
2021-09-01,490752
2021-10-01,517883
2021-11-01,538632
2021-12-01,589369
2022-01-01,474414
2022-02-01,462148
2022-03-01,541746
2022-04-01,544061
2022-05-01,572984
2022-06-01,565376
2022-07-01,562385
2022-08-01,566838
2022-09-01,539254
2022-10-01,562316
